AUTOGENERATED FILE DO NOT EDIT
View a prettier version of this at,https://docs.google.com/spreadsheets/d/15pJY4cxtM2NVNFKQDgDnoT5PLo0Nm5Td-Ov-5PZefAw
platform,Android Nexus5 Perf,Android Nexus5X WebView Perf,Win 7 Nvidia GPU Perf,Win 7 Perf,android-go-perf,android-go_webview-perf,android-pixel2-perf,android-pixel2_weblayer-perf,android-pixel2_webview-perf,linux-perf,mac-10_12_laptop_low_end-perf,mac-10_13_laptop_high_end-perf,win-10-perf,win-10_laptop_low_end-perf
shards,16,16,4,4,19,13,35,4,21,26,26,26,26,26
idealized cycle time (hours),0.07,0.47,0.31,0.03,0.40,0.16,0.76,0.11,0.28,0.31,0.44,0.35,0.44,0.71
angle_perftests,0.000,0.000,0.276,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.000
base_perftests,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.006,0.006,0.000
blink_perf.accessibility,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.001
blink_perf.bindings,0.000,0.015,0.000,0.000,0.000,0.000,0.014,0.000,0.009,0.006,0.009,0.007,0.009,0.011
blink_perf.canvas,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.005,0.006,0.010,0.000,0.009,0.012
blink_perf.css,0.000,0.007,0.000,0.000,0.000,0.000,0.084,0.000,0.004,0.005,0.007,0.006,0.007,0.010
blink_perf.display_locking,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000
blink_perf.dom,0.000,0.004,0.000,0.000,0.000,0.000,0.003,0.000,0.002,0.001,0.002,0.002,0.002,0.003
blink_perf.events,0.000,0.002,0.000,0.000,0.000,0.000,0.005,0.000,0.002,0.001,0.002,0.002,0.002,0.002
blink_perf.image_decoder,0.000,0.005,0.000,0.000,0.000,0.000,0.006,0.000,0.004,0.002,0.004,0.002,0.003,0.005
blink_perf.layout,0.000,0.030,0.000,0.000,0.000,0.000,0.030,0.000,0.015,0.009,0.015,0.012,0.015,0.018
blink_perf.owp_storage,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.002,0.002
blink_perf.paint,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.005,0.003,0.006,0.004,0.004,0.009
blink_perf.parser,0.000,0.010,0.000,0.000,0.000,0.000,0.012,0.000,0.005,0.004,0.006,0.005,0.006,0.007
blink_perf.shadow_dom,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.004,0.001,0.003,0.002,0.004,0.004
blink_perf.svg,0.000,0.002,0.000,0.000,0.000,0.000,0.004,0.000,0.002,0.001,0.001,0.001,0.002,0.002
components_perftests,0.004,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.002,0.000
dawn_perf_tests,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.006,0.000
dromaeo,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.000,0.002,0.002,0.003,0.003,0.003,0.003
dummy_benchmark.noisy_benchmark_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
dummy_benchmark.stable_benchmark_1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpu_perftests,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
jetstream,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.004,0.004,0.005
jetstream2,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.003,0.000,0.004,0.003,0.007
kraken,0.000,0.002,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.001,0.001,0.000,0.001
load_library_perf_tests,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
loading.desktop,0.000,0.000,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.023,0.043,0.029,0.036,0.061
loading.mobile,0.006,0.022,0.000,0.000,0.000,0.000,0.035,0.000,0.014,0.000,0.000,0.000,0.000,0.000
media.desktop,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.010,0.008,0.008,0.014
media.mobile,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000
media_perftests,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
